iter	Passed	Remaining
509	2111	2028
510	2114	2023
511	2117	2017
512	2120	2013
513	2123	2007
514	2126	2002
515	2129	1997
516	2132	1992
517	2135	1987
518	2138	1982
519	2141	1977
520	2145	1972
521	2148	1967
522	2152	1962
523	2155	1957
524	2163	1957
525	2168	1954
526	2172	1949
527	2175	1944
528	2178	1940
529	2183	1936
530	2186	1931
531	2189	1926
532	2193	1921
533	2196	1916
534	2200	1912
535	2203	1907
536	2206	1902
537	2209	1897
538	2213	1892
539	2217	1888
540	2220	1883
541	2225	1880
542	2233	1880
543	2239	1877
544	2244	1874
545	2253	1873
546	2258	1870
547	2261	1865
548	2265	1861
549	2269	1857
550	2274	1853
551	2277	1848
552	2281	1844
553	2285	1839
554	2288	1835
555	2293	1831
556	2299	1829
557	2306	1826
558	2311	1823
559	2318	1821
560	2323	1818
561	2334	1819
562	2339	1815
563	2345	1813
564	2349	1808
565	2355	1805
566	2359	1801
567	2363	1797
568	2367	1793
569	2372	1789
570	2376	1785
571	2382	1782
572	2387	1779
573	2391	1775
574	2396	1771
575	2400	1767
576	2404	1762
577	2408	1758
578	2413	1754
579	2419	1751
580	2423	1747
581	2428	1744
582	2442	1747
583	2446	1742
584	2456	1742
585	2465	1741
586	2472	1739
587	2476	1735
588	2482	1732
589	2486	1728
590	2490	1723
591	2494	1718
592	2497	1713
593	2500	1709
594	2504	1704
595	2507	1699
596	2510	1694
597	2514	1690
598	2517	1685
599	2521	1681
600	2525	1676
601	2528	1671
602	2531	1666
603	2535	1662
604	2538	1657
605	2541	1652
606	2546	1648
607	2549	1643
608	2552	1638
609	2557	1635
610	2561	1630
611	2565	1626
612	2568	1621
613	2572	1617
614	2575	1612
615	2579	1607
616	2582	1603
617	2586	1598
618	2590	1594
619	2593	1589
620	2597	1585
621	2600	1580
622	2604	1575
623	2607	1571
624	2610	1566
625	2613	1561
626	2616	1556
627	2620	1552
628	2623	1547
629	2628	1543
630	2632	1539
631	2636	1534
632	2641	1531
633	2647	1528
634	2657	1527
635	2668	1526
636	2680	1527
637	2689	1525
638	2692	1521
639	2696	1516
640	2702	1513
641	2706	1509
642	2710	1505
643	2714	1500
644	2718	1496
645	2728	1495
646	2732	1490
647	2736	1486
648	2740	1481
649	2744	1477
650	2748	1473
651	2751	1468
652	2755	1464
653	2758	1459
654	2762	1455
655	2766	1450
656	2769	1446
657	2776	1442
658	2780	1438
659	2784	1434
660	2788	1430
661	2792	1425
662	2795	1421
663	2799	1416
664	2802	1411
665	2806	1407
666	2809	1402
667	2812	1397
668	2816	1393
669	2819	1388
670	2825	1385
671	2829	1380
672	2832	1376
673	2836	1371
674	2839	1367
675	2843	1362
676	2847	1358
677	2857	1356
678	2862	1353
679	2867	1349
680	2871	1344
681	2874	1340
682	2878	1335
683	2881	1331
684	2885	1326
685	2889	1322
686	2892	1318
687	2896	1313
688	2899	1308
689	2903	1304
690	2907	1299
691	2910	1295
692	2914	1290
693	2917	1286
694	2921	1281
695	2924	1277
696	2927	1272
697	2931	1268
698	2935	1264
699	2939	1259
700	2942	1255
701	2946	1250
702	2949	1246
703	2953	1241
704	2957	1237
705	2960	1233
706	2964	1228
707	2968	1224
708	2971	1219
709	2976	1215
710	2981	1211
711	2985	1207
712	2993	1205
713	2997	1200
714	3002	1196
715	3006	1192
716	3012	1189
717	3018	1185
718	3022	1181
719	3028	1177
720	3032	1173
721	3035	1168
722	3040	1164
723	3046	1161
724	3053	1158
725	3057	1153
726	3061	1149
727	3064	1145
728	3068	1140
729	3072	1136
730	3075	1131
731	3078	1127
732	3082	1122
733	3086	1118
734	3089	1113
735	3092	1109
736	3102	1107
737	3106	1102
738	3114	1099
739	3123	1097
740	3139	1097
741	3145	1093
742	3155	1091
743	3168	1090
744	3180	1088
745	3193	1087
746	3201	1084
747	3205	1080
748	3209	1075
749	3213	1071
750	3217	1066
751	3221	1062
752	3225	1058
753	3233	1055
754	3240	1051
755	3245	1047
756	3252	1044
757	3257	1040
758	3263	1036
759	3269	1032
760	3272	1027
761	3276	1023
762	3279	1018
763	3282	1014
764	3285	1009
765	3288	1004
766	3291	999
767	3297	996
768	3300	991
769	3304	986
770	3306	982
771	3309	977
772	3312	972
773	3318	969
774	3321	964
775	3324	959
776	3327	955
777	3330	950
778	3333	945
779	3336	941
780	3339	936
781	3342	931
782	3346	927
783	3349	922
784	3356	919
785	3359	914
786	3362	910
787	3366	905
788	3369	901
789	3372	896
790	3375	891
791	3378	887
792	3381	882
793	3384	878
794	3387	873
795	3390	868
796	3393	864
797	3396	859
798	3399	855
799	3402	850
800	3405	846
801	3408	841
802	3411	836
803	3414	832
804	3417	827
805	3420	823
806	3423	818
807	3426	814
808	3429	809
809	3432	805
810	3435	800
811	3440	796
812	3445	792
813	3450	788
814	3456	784
815	3461	780
816	3467	776
817	3474	772
818	3477	768
819	3484	764
820	3490	760
821	3495	756
822	3498	752
823	3501	747
824	3505	743
825	3516	740
826	3519	736
827	3528	733
828	3533	728
829	3536	724
830	3544	720
831	3551	717
832	3557	713
833	3564	709
834	3572	705
835	3575	701
836	3582	697
837	3597	695
838	3610	692
839	3617	688
840	3626	685
841	3646	684
842	3650	679
843	3654	675
844	3668	672
845	3676	669
846	3679	664
847	3694	662
848	3699	657
849	3702	653
850	3711	649
851	3719	646
852	3724	641
853	3744	640
854	3752	636
855	3755	631
856	3759	627
857	3763	622
858	3775	619
859	3780	615
860	3788	611
861	3796	607
862	3803	603
863	3813	600
864	3818	595
865	3821	591
866	3824	586
867	3829	582
868	3833	577
869	3836	573
870	3839	568
871	3842	564
872	3845	559
873	3849	554
874	3853	550
875	3861	546
876	3865	542
877	3868	537
878	3872	533
879	3875	528
880	3878	523
881	3882	519
882	3885	514
883	3889	510
884	3893	505
885	3898	501
886	3907	497
887	3913	493
888	3918	489
889	3921	484
890	3927	480
891	3931	476
892	3935	471
893	3939	467
894	3942	462
895	3946	458
896	3952	453
897	3955	449
898	3960	444
899	3963	440
900	3966	435
901	3970	431
902	3974	426
903	3977	422
904	3981	417
905	3984	413
906	3987	408
907	3990	404
908	3994	399
909	3997	395
910	4001	390
911	4004	386
912	4009	382
913	4013	377
914	4017	373
915	4021	368
916	4025	364
917	4028	359
918	4032	355
919	4037	351
920	4041	346
921	4044	342
922	4048	337
923	4054	333
924	4057	328
925	4060	324
926	4063	319
927	4066	315
928	4070	311
929	4073	306
930	4075	302
931	4079	297
932	4083	293
933	4086	288
934	4089	284
935	4092	279
936	4096	275
937	4099	270
938	4102	266
939	4105	262
940	4108	257
941	4111	253
942	4114	248
943	4117	244
944	4122	239
945	4126	235
946	4129	231
947	4133	226
948	4138	222
949	4143	218
950	4147	213
951	4158	209
952	4173	205
953	4183	201
954	4189	197
955	4192	192
956	4195	188
957	4199	184
958	4202	179
959	4206	175
960	4213	171
961	4220	166
962	4223	162
963	4227	157
964	4233	153
965	4236	149
966	4240	144
967	4247	140
968	4251	136
969	4255	131
970	4259	127
971	4265	122
972	4270	118
973	4276	114
974	4281	109
975	4288	105
976	4292	101
977	4297	96
978	4302	92
979	4306	87
980	4316	83
981	4320	79
982	4329	74
983	4335	70
984	4346	66
985	4360	61
986	4368	57
987	4373	53
988	4377	48
989	4381	44
990	4386	39
991	4400	35
992	4411	31
993	4421	26
994	4434	22
995	4450	17
996	4464	13
997	4483	8
998	4488	4
999	4506	0
