iter	Logloss
0	0.6572713024
1	0.6261980626
2	0.5973432498
3	0.5720222438
4	0.5404985582
5	0.517708367
6	0.4946183633
7	0.4717037098
8	0.458157129
9	0.4386687021
10	0.4221221219
11	0.4068691992
12	0.3971745082
13	0.3801754668
14	0.3694104021
15	0.3600941551
16	0.3495364555
17	0.339279865
18	0.3270234558
19	0.3187862768
20	0.3119417819
21	0.3046098631
22	0.2932992921
23	0.2867269212
24	0.2803560847
25	0.2715172412
26	0.2640950676
27	0.2575689356
28	0.2518627333
29	0.2479849295
30	0.2434824107
31	0.2387969309
32	0.234672927
33	0.2319090734
34	0.2292088381
35	0.2267254986
36	0.224076088
37	0.2206958981
38	0.2165365977
39	0.2142240576
40	0.2116272196
41	0.2099817406
42	0.2081625203
43	0.2057340008
44	0.2027158856
45	0.1992911591
46	0.1968062283
47	0.1952239159
48	0.1936936723
49	0.1918866091
50	0.189864441
51	0.1881411681
52	0.1868530133
53	0.1842428257
54	0.1824617238
55	0.1814352297
56	0.1785046888
57	0.1764893811
58	0.1749184142
59	0.1726957356
60	0.171346886
61	0.1695225957
62	0.1673677683
63	0.1660237721
64	0.1650033275
65	0.1637007186
66	0.1622015824
67	0.1604790273
68	0.1588209155
69	0.1572564324
70	0.1560952269
71	0.1552667636
72	0.1543891267
73	0.1535137027
74	0.1523353538
75	0.151417405
76	0.1499050913
77	0.148455765
78	0.1477134601
79	0.146596599
80	0.1455136987
81	0.144725157
82	0.1438284216
83	0.1431807163
84	0.1420230306
85	0.1411274711
86	0.1402561265
87	0.1394314
88	0.1387865333
89	0.1379456747
90	0.1370845381
91	0.1357492627
92	0.1348060145
93	0.1339329795
94	0.1330671531
95	0.1324441361
96	0.1317119609
97	0.131060647
98	0.1304827684
99	0.1296717251
100	0.1291399217
101	0.1280852989
102	0.1275527384
103	0.1271068006
104	0.1264231509
105	0.1255552504
106	0.1248653242
107	0.1241341279
108	0.1237269186
109	0.1233558946
110	0.1229006544
111	0.122161742
112	0.1217030229
113	0.1211502341
114	0.1206202853
115	0.1201125292
116	0.1195006869
117	0.1186835076
118	0.1183791947
119	0.1176722467
120	0.1167105587
121	0.116025825
122	0.1153841782
123	0.1147714505
124	0.1143942189
125	0.1137041783
126	0.1133283596
127	0.1129193021
128	0.1124258411
129	0.1119930743
130	0.1115617314
131	0.1112859988
132	0.110870846
133	0.1105485976
134	0.1100456735
135	0.1094584489
136	0.1090990928
137	0.1086151153
138	0.1082926931
139	0.107945844
140	0.107413294
141	0.1068673474
142	0.1063662323
143	0.1060130661
144	0.1056614151
145	0.1052797548
146	0.104816517
147	0.104464409
148	0.1040331937
149	0.1035919784
150	0.1030897117
151	0.1027831997
152	0.1023828125
153	0.1021738414
154	0.1015904472
155	0.1011659507
156	0.1004707105
157	0.1000801299
158	0.09979170446
159	0.09935504724
160	0.09908123762
161	0.09874427165
162	0.09850451858
163	0.09824928678
164	0.09783854131
165	0.09762250202
166	0.09717273254
167	0.09692007647
168	0.09660221689
169	0.09626401747
170	0.09591681888
171	0.09559705075
172	0.09526219277
173	0.09500578205
174	0.0945314376
175	0.09420425779
176	0.09389740185
177	0.09364177985
178	0.09334824625
179	0.09307885887
180	0.09275060682
181	0.09244626254
182	0.09221493853
183	0.09173932928
184	0.09125663983
185	0.09101267043
186	0.09068260564
187	0.09052315086
188	0.09033628291
189	0.09000092437
190	0.08969719824
191	0.0894667854
192	0.08931156026
193	0.08913278618
